"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.027463670E1,3.061932840E1,-9.634130697E1,9.757618879E1,8.899999857E-1,2.143000031E2,1.530612230E0,2.000000000E0
4.127463390E1,3.061931860E1,-9.634131636E1,9.757619282E1,1.339999914E0,2.186000061E2,1.530612230E0,2.000000000E0
4.227463082E1,3.061931151E1,-9.634132440E1,9.757619528E1,1.009999990E0,2.183999939E2,1.530612230E0,2.000000000E0
4.327462787E1,3.061930422E1,-9.634133161E1,9.757619820E1,9.699999690E-1,2.123000031E2,1.530612230E0,2.000000000E0
4.427462492E1,3.061929923E1,-9.634133714E1,9.757619998E1,8.499999642E-1,2.156000061E2,1.530612230E0,2.000000000E0
4.527462185E1,3.061929349E1,-9.634134326E1,9.757620212E1,8.899999857E-1,2.173999939E2,1.530612230E0,2.000000000E0
4.627461893E1,3.061928566E1,-9.634135156E1,9.757620505E1,8.499999642E-1,2.203999939E2,1.530612230E0,2.000000000E0
4.727461604E1,3.061927807E1,-9.634136044E1,9.757620759E1,8.700000048E-1,2.221999969E2,1.530612230E0,2.000000000E0
4.827461317E1,3.061926994E1,-9.634136983E1,9.757621035E1,1.189999938E0,2.246000061E2,1.530612230E0,2.000000000E0
4.927461013E1,3.061926173E1,-9.634137704E1,9.757621397E1,1.000000000E0,2.236000061E2,1.020408154E0,2.000000000E0
5.027460707E1,3.061925351E1,-9.634138408E1,9.757621765E1,9.699999690E-1,2.231999969E2,1.020408154E0,2.000000000E0
5.127460410E1,3.061925510E1,-9.634137562E1,9.757621950E1,9.599999785E-1,1.933999939E2,1.020408154E0,2.000000000E0
5.227460113E1,3.061925770E1,-9.634136899E1,9.857621993E1,8.899999857E-1,1.943000031E2,1.020408154E0,2.000000000E0
5.327459812E1,3.061926210E1,-9.634136690E1,9.857621735E1,8.700000048E-1,2.030000000E2,1.020408154E0,2.000000000E0
5.427459516E1,3.061926629E1,-9.634136422E1,9.857621515E1,8.999999762E-1,2.138999939E2,1.020408154E0,2.000000000E0
5.527459225E1,3.061925846E1,-9.634137050E1,9.757621881E1,8.799999952E-1,2.283999939E2,1.020408154E0,2.000000000E0
5.627458913E1,3.061925087E1,-9.634137687E1,9.857622226E1,8.700000048E-1,2.351999969E2,1.020408154E0,2.000000000E0
5.727458617E1,3.061924379E1,-9.634138349E1,9.757622523E1,8.599999547E-1,2.401000061E2,1.020408154E0,2.000000000E0
5.827458303E1,3.061923696E1,-9.634139054E1,9.857622786E1,8.599999547E-1,2.271000061E2,1.020408154E0,2.000000000E0
5.927457995E1,3.061923025E1,-9.634139783E1,9.857623030E1,8.599999547E-1,2.236000061E2,1.020408154E0,2.000000000E0
6.027457695E1,3.061922388E1,-9.634140529E1,9.857623243E1,8.499999642E-1,2.218999939E2,1.020408154E0,1.000000000E0
6.127457399E1,3.061921768E1,-9.634141233E1,9.857623458E1,8.199999928E-1,2.248999939E2,1.020408154E0,1.000000000E0
6.227457102E1,3.061921173E1,-9.634141945E1,9.857623652E1,8.100000024E-1,2.278000031E2,1.020408154E0,1.000000000E0
6.327456789E1,3.061920590E1,-9.634142649E1,9.857623838E1,7.899999619E-1,2.260000000E2,1.020408154E0,1.000000000E0
6.427456477E1,3.061920029E1,-9.634143345E1,9.857624012E1,7.799999714E-1,2.113000031E2,1.020408154E0,1.000000000E0
6.527456167E1,3.061919475E1,-9.634144016E1,9.757624189E1,7.699999809E-1,1.855000000E2,1.020408154E0,1.000000000E0
6.627455859E1,3.061918905E1,-9.634144636E1,9.757624396E1,7.400000095E-1,2.046000061E2,1.020408154E0,1.000000000E0
6.727455554E1,3.061918905E1,-9.634144636E1,9.657624396E1,7.400000095E-1,1.791000061E2,1.020408154E0,2.000000000E0
6.827455259E1,3.061917292E1,-9.634145541E1,9.757625291E1,5.999999642E-1,1.511000061E2,1.020408154E0,2.000000000E0
6.927454944E1,3.061915272E1,-9.634146061E1,1.005762663E2,6.399999857E-1,1.428000031E2,1.020408154E0,2.000000000E0
7.027454626E1,3.061912527E1,-9.634146036E1,1.015762872E2,1.209999919E0,1.398000031E2,1.020408154E0,2.000000000E0
7.127454312E1,3.061911659E1,-9.634145474E1,1.025762958E2,1.000000000E0,1.541999969E2,1.020408154E0,2.000000000E0
7.227453998E1,3.061911203E1,-9.634145231E1,1.025763002E2,5.399999619E-1,1.656000061E2,1.020408154E0,2.000000000E0
7.327453692E1,3.061910553E1,-9.634144812E1,1.035763066E2,9.899999499E-1,1.506999969E2,1.020408154E0,2.000000000E0
7.427453379E1,3.061909933E1,-9.634144217E1,1.025763135E2,6.999999881E-1,1.581999969E2,1.020408154E0,2.000000000E0
7.527453072E1,3.061908990E1,-9.634143546E1,1.025763230E2,1.000000000E0,1.488000031E2,1.020408154E0,2.000000000E0
7.627452753E1,3.061908160E1,-9.634142331E1,1.015763337E2,1.649999976E0,1.371000061E2,1.020408154E0,1.000000000E0
7.727452442E1,3.061907607E1,-9.634141258E1,1.015763418E2,1.120000005E0,1.348999939E2,1.020408154E0,2.000000000E0
7.827452125E1,3.061906613E1,-9.634140261E1,1.005763529E2,1.139999986E0,1.395000000E2,1.020408154E0,2.000000000E0
7.927451807E1,3.061905813E1,-9.634139531E1,1.005763616E2,1.079999924E0,1.473999939E2,5.102040768E-1,1.000000000E0
8.027451488E1,3.061904975E1,-9.634138844E1,1.005763705E2,1.090000033E0,1.433000031E2,1.020408154E0,1.000000000E0
8.127451173E1,3.061904174E1,-9.634138182E1,1.005763789E2,1.059999943E0,1.421000061E2,5.102040768E-1,1.000000000E0
8.227450862E1,3.061903353E1,-9.634137411E1,1.005763879E2,1.059999943E0,1.403000031E2,1.020408154E0,1.000000000E0
8.327450552E1,3.061902276E1,-9.634136505E1,1.005763994E2,1.549999952E0,1.496999969E2,5.102040768E-1,1.000000000E0
8.427450225E1,3.061901119E1,-9.634135625E1,1.005764113E2,1.350000024E0,1.525000000E2,1.020408154E0,1.000000000E0
8.527449903E1,3.061900482E1,-9.634134770E1,1.005764192E2,1.090000033E0,1.418999939E2,5.102040768E-1,1.000000000E0
8.627449579E1,3.061899975E1,-9.634133949E1,1.005764260E2,1.230000019E0,1.366999969E2,5.102040768E-1,1.000000000E0
8.727449269E1,3.061899225E1,-9.634133111E1,1.005764348E2,1.090000033E0,1.355000000E2,5.102040768E-1,1.000000000E0
8.827448948E1,3.061898449E1,-9.634132256E1,9.957644373E1,1.049999952E0,1.371999969E2,5.102040768E-1,1.000000000E0
8.927448637E1,3.061897754E1,-9.634131887E1,9.957645033E1,7.899999619E-1,1.458000031E2,5.102040768E-1,1.000000000E0
9.027448316E1,3.061897113E1,-9.634131644E1,9.957645607E1,7.899999619E-1,1.718999939E2,5.102040768E-1,1.000000000E0
9.127447992E1,3.061896287E1,-9.634131275E1,9.957646366E1,1.029999971E0,1.676000061E2,5.102040768E-1,1.000000000E0
9.227447666E1,3.061895637E1,-9.634130621E1,9.957647095E1,1.079999924E0,1.530000000E2,5.102040768E-1,1.000000000E0
9.327447340E1,3.061894724E1,-9.634130060E1,9.957647990E1,1.100000024E0,1.426999969E2,5.102040768E-1,1.000000000E0
9.427447019E1,3.061893865E1,-9.634129331E1,9.957648905E1,1.129999995E0,1.378000031E2,5.102040768E-1,1.000000000E0
9.527446700E1,3.061893181E1,-9.634128610E1,9.957649683E1,1.069999933E0,1.348999939E2,5.102040768E-1,1.000000000E0
9.627446381E1,3.061892494E1,-9.634127998E1,9.857650425E1,9.099999666E-1,1.401999969E2,5.102040768E-1,1.000000000E0
9.727446068E1,3.061891509E1,-9.634127579E1,9.757651323E1,1.490000010E0,1.623000031E2,5.102040768E-1,1.000000000E0
9.827445742E1,3.061890461E1,-9.634127067E1,9.757652302E1,1.189999938E0,1.673000031E2,5.102040768E-1,1.000000000E0
9.927445410E1,3.061889657E1,-9.634126665E1,9.757653057E1,8.199999928E-1,1.726000061E2,5.102040768E-1,1.000000000E0
1.002744509E2,3.061888881E1,-9.634126112E1,9.757653845E1,9.399999976E-1,1.553000031E2,5.102040768E-1,1.000000000E0
1.012744477E2,3.061889242E1,-9.634126254E1,9.857653520E1,9.899999499E-1,1.441999969E2,5.102040768E-1,1.000000000E0
